url,Sales Model,Closed,Quick Delivery,Sold,Unavailable,Future Development,Available,Reserved,total
https://khovsecure.ml3ds-cloud.com/#/lotmap/183873,1,2,0,14,0,0,14,0,31
https://khovsecure.ml3ds-cloud.com/#/lotmap/163055,1,22,10,8,0,8,43,0,92
https://khovsecure.ml3ds-cloud.com/#/lotmap/184024,0,0,0,0,0,0,0,0,0
https://khovsecure.ml3ds-cloud.com/#/lotmap/183869,0,0,0,15,0,0,3,0,18
https://khovsecure.ml3ds-cloud.com/#/lotmap/89426,2,101,4,33,1,123,26,2,292
https://khovsecure.ml3ds-cloud.com/#/lotmap/163501,2,22,5,37,0,21,13,0,100
https://khovsecure.ml3ds-cloud.com/#/lotmap/163508,3,0,0,52,0,159,40,0,254
https://khovsecure.ml3ds-cloud.com/#/lotmap/184408,2,0,7,24,0,33,6,0,72
https://khovsecure.ml3ds-cloud.com/#/lotmap/141852,0,22,5,8,29,0,16,1,81
https://khovsecure.ml3ds-cloud.com/#/lotmap/183745,1,1,23,10,7,0,25,0,67
https://khovsecure.ml3ds-cloud.com/#/lotmap/162345,2,32,9,15,0,41,0,0,99
https://khovsecure.ml3ds-cloud.com/#/lotmap/184659,0,0,10,1,1,0,13,0,25
https://khovsecure.ml3ds-cloud.com/#/lotmap/162398,1,68,6,29,4,0,46,0,154
https://khovsecure.ml3ds-cloud.com/#/lotmap/101025,2,59,14,11,1,0,16,0,103
https://khovsecure.ml3ds-cloud.com/#/lotmap/163229,1,6,13,8,0,0,49,0,77
https://khovsecure.ml3ds-cloud.com/#/lotmap/163305,0,0,0,0,0,0,0,0,0
https://khovsecure.ml3ds-cloud.com/#/lotmap/163345,1,14,10,18,0,79,13,0,135
https://khovsecure.ml3ds-cloud.com/#/lotmap/162949,1,15,9,7,0,18,0,0,50
